average_frametime_ms,23.951
frame,timestamp_ms,frametime_ms
0,1240,34.000
1,1261,21.000
2,1287,26.000
3,1309,22.000
4,1331,22.000
5,1351,20.000
6,1370,19.000
7,1390,20.000
8,1410,20.000
9,1431,21.000
10,1451,20.000
11,1471,20.000
12,1492,21.000
13,1512,20.000
14,1532,20.000
15,1552,20.000
16,1572,20.000
17,1591,19.000
18,1611,20.000
19,1631,20.000
20,1652,21.000
21,1672,20.000
22,1692,20.000
23,1711,19.000
24,1732,21.000
25,1752,20.000
26,1772,20.000
27,1792,20.000
28,1812,20.000
29,1832,20.000
30,1852,20.000
31,1873,21.000
32,1893,20.000
33,1914,21.000
34,1935,21.000
35,1955,20.000
36,1975,20.000
37,1995,20.000
38,2015,20.000
39,2035,20.000
40,2055,20.000
41,2075,20.000
42,2097,22.000
43,2119,22.000
44,2141,22.000
45,2161,20.000
46,2181,20.000
47,2201,20.000
48,2221,20.000
0,2241,20.000
1,2261,20.000
2,2280,19.000
3,2300,20.000
4,2320,20.000
5,2341,21.000
6,2361,20.000
7,2381,20.000
8,2401,20.000
9,2421,20.000
10,2440,19.000
11,2460,20.000
12,2480,20.000
13,2500,20.000
14,2520,20.000
15,2540,20.000
16,2560,20.000
17,2581,21.000
18,2601,20.000
19,2623,22.000
20,2644,21.000
21,2664,20.000
22,2684,20.000
23,2704,20.000
24,2725,21.000
25,2746,21.000
26,2766,20.000
27,2788,22.000
28,2808,20.000
29,2828,20.000
30,2849,21.000
31,2870,21.000
32,2890,20.000
33,2911,21.000
34,2931,20.000
35,2951,20.000
36,2971,20.000
37,2991,20.000
38,3011,20.000
39,3032,21.000
40,3052,20.000
41,3072,20.000
42,3092,20.000
43,3112,20.000
44,3132,20.000
45,3152,20.000
46,3172,20.000
47,3192,20.000
48,3211,19.000
49,3231,20.000
0,3251,20.000
1,3272,21.000
2,3292,20.000
3,3312,20.000
4,3332,20.000
5,3352,20.000
6,3373,21.000
7,3393,20.000
8,3412,19.000
9,3432,20.000
10,3452,20.000
11,3472,20.000
12,3492,20.000
13,3512,20.000
14,3533,21.000
15,3553,20.000
16,3572,19.000
17,3593,21.000
18,3613,20.000
19,3633,20.000
20,3653,20.000
21,3674,21.000
22,3694,20.000
23,3714,20.000
24,3734,20.000
25,3755,21.000
26,3775,20.000
27,3795,20.000
28,3815,20.000
29,3835,20.000
30,3855,20.000
31,3875,20.000
32,3895,20.000
33,3915,20.000
34,3935,20.000
35,3955,20.000
36,3976,21.000
37,3996,20.000
38,4017,21.000
39,4037,20.000
40,4057,20.000
41,4078,21.000
42,4098,20.000
43,4119,21.000
44,4139,20.000
45,4160,21.000
46,4180,20.000
47,4200,20.000
48,4222,22.000
49,4242,20.000
0,4263,21.000
1,4283,20.000
2,4303,20.000
3,4325,22.000
4,4345,20.000
5,4366,21.000
6,4386,20.000
7,4406,20.000
8,4427,21.000
9,4447,20.000
10,4467,20.000
11,4487,20.000
12,4508,21.000
13,4528,20.000
14,4549,21.000
15,4569,20.000
16,4589,20.000
17,4609,20.000
18,4630,21.000
19,4651,21.000
20,4671,20.000
21,4692,21.000
22,4712,20.000
23,4732,20.000
24,4754,22.000
25,4775,21.000
26,4795,20.000
27,4816,21.000
28,4837,21.000
