average_frametime_ms,8.283
frame,timestamp_ms,frametime_ms
0,1249,60.000
1,1251,2.000
2,1258,7.000
3,1263,5.000
4,1266,3.000
5,1268,2.000
6,1272,4.000
7,1280,8.000
8,1289,9.000
9,1302,13.000
10,1306,4.000
11,1314,8.000
12,1322,8.000
13,1330,8.000
14,1339,9.000
15,1347,8.000
16,1355,8.000
17,1364,9.000
18,1372,8.000
19,1380,8.000
20,1395,15.000
21,1398,3.000
22,1405,7.000
23,1414,9.000
24,1422,8.000
25,1430,8.000
26,1439,9.000
27,1447,8.000
28,1455,8.000
29,1464,9.000
30,1475,11.000
31,1480,5.000
32,1489,9.000
33,1500,11.000
34,1508,8.000
35,1516,8.000
36,1522,6.000
37,1530,8.000
38,1539,9.000
39,1552,13.000
40,1555,3.000
41,1564,9.000
42,1572,8.000
43,1580,8.000
44,1589,9.000
45,1597,8.000
46,1605,8.000
47,1614,9.000
48,1622,8.000
49,1630,8.000
50,1639,9.000
51,1647,8.000
52,1655,8.000
53,1664,9.000
54,1672,8.000
55,1680,8.000
56,1689,9.000
57,1697,8.000
58,1710,13.000
59,1713,3.000
60,1722,9.000
61,1730,8.000
62,1739,9.000
63,1747,8.000
64,1755,8.000
65,1764,9.000
66,1772,8.000
67,1780,8.000
68,1789,9.000
69,1797,8.000
70,1805,8.000
71,1814,9.000
72,1822,8.000
73,1830,8.000
74,1839,9.000
75,1847,8.000
76,1856,9.000
77,1864,8.000
78,1872,8.000
79,1881,9.000
80,1889,8.000
81,1897,8.000
82,1905,8.000
83,1914,9.000
84,1922,8.000
85,1930,8.000
86,1939,9.000
87,1947,8.000
88,1955,8.000
89,1964,9.000
90,1972,8.000
91,1980,8.000
92,1989,9.000
93,1997,8.000
94,2010,13.000
95,2018,8.000
96,2022,4.000
97,2030,8.000
98,2038,8.000
99,2047,9.000
100,2055,8.000
101,2064,9.000
102,2072,8.000
103,2080,8.000
104,2089,9.000
105,2097,8.000
106,2105,8.000
107,2114,9.000
108,2122,8.000
109,2130,8.000
110,2139,9.000
111,2147,8.000
112,2155,8.000
113,2164,9.000
114,2177,13.000
115,2180,3.000
116,2189,9.000
0,2197,8.000
1,2199,2.000
2,2205,6.000
3,2214,9.000
4,2222,8.000
5,2230,8.000
6,2239,9.000
7,2247,8.000
8,2256,9.000
9,2264,8.000
10,2272,8.000
11,2280,8.000
12,2289,9.000
13,2297,8.000
14,2305,8.000
15,2314,9.000
16,2322,8.000
17,2331,9.000
18,2344,13.000
19,2347,3.000
20,2360,13.000
21,2369,9.000
22,2372,3.000
23,2385,13.000
24,2389,4.000
25,2397,8.000
26,2405,8.000
27,2414,9.000
28,2422,8.000
29,2430,8.000
30,2439,9.000
31,2447,8.000
32,2455,8.000
33,2464,9.000
34,2472,8.000
35,2486,14.000
36,2489,3.000
37,2497,8.000
38,2505,8.000
39,2514,9.000
40,2527,13.000
41,2530,3.000
42,2539,9.000
43,2547,8.000
44,2556,9.000
45,2564,8.000
46,2572,8.000
47,2580,8.000
48,2589,9.000
49,2597,8.000
50,2605,8.000
51,2614,9.000
52,2622,8.000
53,2630,8.000
54,2644,14.000
55,2647,3.000
56,2655,8.000
57,2664,9.000
58,2672,8.000
59,2680,8.000
60,2689,9.000
61,2697,8.000
62,2706,9.000
63,2714,8.000
64,2722,8.000
65,2730,8.000
66,2739,9.000
67,2747,8.000
68,2755,8.000
69,2764,9.000
70,2772,8.000
71,2780,8.000
72,2789,9.000
73,2797,8.000
74,2805,8.000
75,2814,9.000
76,2822,8.000
77,2831,9.000
78,2839,8.000
79,2847,8.000
80,2856,9.000
81,2864,8.000
82,2872,8.000
83,2880,8.000
84,2889,9.000
85,2897,8.000
86,2905,8.000
87,2914,9.000
88,2922,8.000
89,2930,8.000
90,2939,9.000
91,2952,13.000
92,2955,3.000
93,2964,9.000
94,2972,8.000
95,2980,8.000
96,2989,9.000
97,2997,8.000
98,3005,8.000
99,3014,9.000
100,3022,8.000
101,3030,8.000
102,3039,9.000
103,3047,8.000
104,3055,8.000
105,3064,9.000
106,3072,8.000
107,3080,8.000
108,3089,9.000
109,3097,8.000
110,3110,13.000
111,3113,3.000
112,3122,9.000
113,3130,8.000
114,3139,9.000
115,3147,8.000
116,3156,9.000
117,3164,8.000
118,3172,8.000
119,3180,8.000
120,3189,9.000
0,3197,8.000
1,3200,3.000
2,3205,5.000
3,3214,9.000
4,3222,8.000
5,3231,9.000
6,3239,8.000
7,3247,8.000
8,3256,9.000
9,3264,8.000
10,3272,8.000
11,3280,8.000
12,3289,9.000
13,3297,8.000
14,3311,14.000
15,3314,3.000
16,3322,8.000
17,3330,8.000
18,3339,9.000
19,3347,8.000
20,3355,8.000
21,3364,9.000
22,3372,8.000
23,3381,9.000
24,3389,8.000
25,3397,8.000
26,3406,9.000
27,3419,13.000
28,3422,3.000
29,3430,8.000
30,3439,9.000
31,3447,8.000
32,3455,8.000
33,3464,9.000
34,3472,8.000
35,3480,8.000
36,3489,9.000
37,3497,8.000
38,3505,8.000
39,3514,9.000
40,3522,8.000
41,3530,8.000
42,3539,9.000
43,3547,8.000
44,3555,8.000
45,3564,9.000
46,3577,13.000
47,3580,3.000
48,3589,9.000
49,3597,8.000
50,3605,8.000
51,3614,9.000
52,3622,8.000
53,3630,8.000
54,3639,9.000
55,3647,8.000
56,3655,8.000
57,3664,9.000
58,3672,8.000
59,3680,8.000
60,3689,9.000
61,3697,8.000
62,3705,8.000
63,3714,9.000
64,3722,8.000
65,3730,8.000
66,3739,9.000
67,3747,8.000
68,3755,8.000
69,3764,9.000
70,3772,8.000
71,3780,8.000
72,3789,9.000
73,3797,8.000
74,3805,8.000
75,3814,9.000
76,3822,8.000
77,3830,8.000
78,3839,9.000
79,3847,8.000
80,3856,9.000
81,3864,8.000
82,3872,8.000
83,3885,13.000
84,3888,3.000
85,3897,9.000
86,3910,13.000
87,3919,9.000
88,3922,3.000
89,3930,8.000
90,3939,9.000
91,3947,8.000
92,3955,8.000
93,3964,9.000
94,3972,8.000
95,3981,9.000
96,3989,8.000
97,4002,13.000
98,4005,3.000
99,4014,9.000
100,4027,13.000
101,4030,3.000
102,4044,14.000
103,4047,3.000
104,4055,8.000
105,4064,9.000
106,4072,8.000
107,4080,8.000
108,4089,9.000
109,4097,8.000
110,4105,8.000
111,4114,9.000
112,4122,8.000
113,4130,8.000
114,4139,9.000
115,4147,8.000
116,4155,8.000
117,4164,9.000
118,4172,8.000
119,4180,8.000
120,4189,9.000
0,4197,8.000
1,4200,3.000
2,4205,5.000
3,4214,9.000
4,4222,8.000
5,4230,8.000
6,4239,9.000
7,4247,8.000
8,4255,8.000
9,4264,9.000
10,4272,8.000
11,4280,8.000
12,4289,9.000
13,4297,8.000
14,4305,8.000
15,4318,13.000
16,4322,4.000
17,4330,8.000
18,4339,9.000
19,4352,13.000
20,4355,3.000
21,4364,9.000
22,4372,8.000
23,4380,8.000
24,4389,9.000
25,4397,8.000
26,4405,8.000
27,4414,9.000
28,4422,8.000
29,4431,9.000
30,4439,8.000
31,4447,8.000
32,4455,8.000
33,4464,9.000
34,4472,8.000
35,4480,8.000
36,4489,9.000
37,4497,8.000
38,4505,8.000
39,4519,14.000
40,4522,3.000
41,4530,8.000
42,4539,9.000
43,4547,8.000
44,4556,9.000
45,4564,8.000
46,4572,8.000
47,4586,14.000
48,4589,3.000
49,4597,8.000
50,4605,8.000
51,4614,9.000
52,4627,13.000
53,4630,3.000
54,4639,9.000
55,4647,8.000
56,4662,15.000
57,4666,4.000
58,4672,6.000
59,4680,8.000
60,4689,9.000
61,4697,8.000
62,4705,8.000
63,4714,9.000
64,4722,8.000
65,4730,8.000
66,4739,9.000
67,4747,8.000
68,4755,8.000
69,4764,9.000
70,4772,8.000
71,4780,8.000
72,4789,9.000
73,4797,8.000
74,4805,8.000
75,4819,14.000
76,4822,3.000
77,4830,8.000
78,4839,9.000
79,4847,8.000
80,4856,9.000
81,4864,8.000
82,4872,8.000
83,4880,8.000
84,4889,9.000
85,4897,8.000
86,4905,8.000
87,4914,9.000
88,4922,8.000
89,4930,8.000
90,4939,9.000
91,4947,8.000
92,4955,8.000
93,4964,9.000
94,4977,13.000
95,4980,3.000
96,4989,9.000
97,4997,8.000
98,5005,8.000
99,5014,9.000
100,5022,8.000
101,5030,8.000
102,5039,9.000
103,5047,8.000
104,5055,8.000
105,5064,9.000
106,5072,8.000
107,5080,8.000
108,5089,9.000
109,5097,8.000
110,5105,8.000
111,5114,9.000
112,5122,8.000
113,5130,8.000
114,5139,9.000
115,5147,8.000
116,5156,9.000
117,5164,8.000
118,5172,8.000
119,5180,8.000
120,5189,9.000
0,5197,8.000
1,5200,3.000
2,5205,5.000
3,5214,9.000
4,5222,8.000
5,5230,8.000
6,5239,9.000
7,5247,8.000
8,5256,9.000
9,5264,8.000
10,5272,8.000
11,5285,13.000
12,5289,4.000
13,5297,8.000
14,5305,8.000
15,5314,9.000
16,5322,8.000
17,5330,8.000
18,5339,9.000
19,5347,8.000
20,5355,8.000
21,5364,9.000
22,5372,8.000
23,5380,8.000
24,5389,9.000
25,5397,8.000
26,5406,9.000
27,5414,8.000
28,5422,8.000
29,5430,8.000
30,5443,13.000
31,5447,4.000
32,5455,8.000
33,5464,9.000
34,5472,8.000
35,5480,8.000
36,5489,9.000
37,5497,8.000
38,5505,8.000
39,5514,9.000
40,5522,8.000
41,5530,8.000
42,5539,9.000
43,5547,8.000
44,5555,8.000
45,5564,9.000
46,5572,8.000
47,5580,8.000
48,5593,13.000
49,5597,4.000
50,5605,8.000
51,5614,9.000
52,5622,8.000
53,5630,8.000
54,5639,9.000
55,5647,8.000
56,5655,8.000
57,5664,9.000
58,5672,8.000
59,5680,8.000
60,5689,9.000
61,5697,8.000
62,5705,8.000
63,5714,9.000
64,5722,8.000
65,5730,8.000
66,5739,9.000
67,5752,13.000
68,5755,3.000
69,5764,9.000
70,5772,8.000
71,5780,8.000
72,5789,9.000
73,5797,8.000
74,5810,13.000
75,5814,4.000
76,5822,8.000
77,5830,8.000
78,5839,9.000
79,5847,8.000
80,5855,8.000
81,5864,9.000
82,5872,8.000
83,5880,8.000
84,5889,9.000
85,5897,8.000
86,5905,8.000
87,5914,9.000
88,5922,8.000
89,5930,8.000
90,5939,9.000
91,5947,8.000
92,5955,8.000
93,5964,9.000
94,5972,8.000
95,5980,8.000
96,5989,9.000
97,5997,8.000
98,6005,8.000
99,6014,9.000
100,6022,8.000
101,6035,13.000
102,6043,8.000
103,6052,9.000
104,6060,8.000
105,6063,3.000
106,6072,9.000
107,6080,8.000
108,6089,9.000
109,6097,8.000
110,6105,8.000
111,6114,9.000
112,6122,8.000
113,6130,8.000
114,6139,9.000
115,6147,8.000
116,6155,8.000
117,6164,9.000
118,6172,8.000
119,6180,8.000
120,6188,8.000
121,6197,9.000
0,6199,2.000
1,6205,6.000
2,6219,14.000
3,6222,3.000
4,6230,8.000
5,6239,9.000
6,6247,8.000
7,6256,9.000
8,6264,8.000
9,6272,8.000
10,6281,9.000
11,6289,8.000
12,6297,8.000
13,6306,9.000
14,6314,8.000
15,6322,8.000
16,6331,9.000
17,6339,8.000
18,6347,8.000
19,6355,8.000
20,6364,9.000
21,6372,8.000
22,6380,8.000
23,6389,9.000
24,6397,8.000
25,6405,8.000
26,6415,10.000
27,6428,13.000
28,6435,7.000
29,6438,3.000
30,6447,9.000
31,6455,8.000
32,6464,9.000
33,6472,8.000
34,6481,9.000
35,6489,8.000
36,6497,8.000
37,6505,8.000
38,6514,9.000
39,6527,13.000
40,6530,3.000
41,6539,9.000
42,6547,8.000
43,6555,8.000
44,6564,9.000
45,6572,8.000
46,6580,8.000
